utc,session,region,category,bloom,quality,correct,timeTakenSec,encounterId
2026-07-04T01:34:50.2923710Z,20260704_013450,china,Geography,remember,Wrong,0,0.50,china_boss
2026-07-04T01:34:56.6316801Z,20260704_013450,china,Geography,remember,Wrong,0,0.94,china_boss
2026-07-04T01:35:02.4194261Z,20260704_013450,china,Geography,remember,Wrong,0,0.70,china_boss
2026-07-04T01:35:09.0714634Z,20260704_013450,china,Geography,remember,CorrectFast,1,1.23,china_boss
2026-07-04T01:35:15.4191635Z,20260704_013450,china,Geography,remember,Wrong,0,0.82,china_boss
2026-07-04T01:35:22.8663087Z,20260704_013450,china,Geography,remember,Wrong,0,1.69,china_boss
2026-07-04T01:35:31.3541169Z,20260704_013450,china,History,remember,CorrectFast,1,2.58,china_boss
2026-07-04T01:35:40.4670322Z,20260704_013450,china,History,remember,CorrectFast,1,2.60,china_boss
2026-07-04T01:35:49.7603729Z,20260704_013450,china,Architecture,understand,CorrectFast,1,2.51,china_boss
2026-07-04T17:23:49.2554730Z,20260704_172349,china,Architecture,remember,CorrectFast,1,1.60,china_rumor
2026-07-04T17:41:52.8854851Z,20260704_174152,china,Architecture,remember,CorrectFast,1,0.60,china_rumor
2026-07-04T17:42:13.5816794Z,20260704_174152,china,Culture,remember,Wrong,0,0.79,china_fallacy
2026-07-04T17:42:19.6376060Z,20260704_174152,china,Culture,remember,Wrong,0,0.69,china_fallacy
2026-07-04T17:42:26.3316375Z,20260704_174152,china,Culture,remember,Wrong,0,1.13,china_fallacy
2026-07-04T17:42:33.9726883Z,20260704_174152,china,Culture,remember,CorrectFast,1,1.32,china_fallacy
2026-07-05T01:19:59.7608291Z,20260705_011959,greece,Architecture,remember,CorrectFast,1,2.33,greece_sophist
2026-07-05T01:20:08.1498992Z,20260705_011959,greece,Architecture,remember,CorrectFast,1,2.38,greece_sophist
2026-07-05T17:41:18.6682242Z,20260705_174118,greece,Architecture,remember,Wrong,0,3.05,greece_sophist
2026-07-05T17:41:26.8901427Z,20260705_174118,greece,Architecture,remember,CorrectFast,1,1.11,greece_sophist
2026-07-05T17:41:34.3670294Z,20260705_174118,greece,Architecture,remember,CorrectFast,1,1.46,greece_sophist
2026-07-05T17:46:47.4913241Z,20260705_174647,greece,Architecture,remember,Wrong,0,2.91,greece_sophist
2026-07-05T17:46:54.0192663Z,20260705_174647,greece,Architecture,remember,CorrectFast,1,1.02,greece_sophist
2026-07-05T17:47:00.7385019Z,20260705_174647,greece,Architecture,remember,CorrectFast,1,0.83,greece_sophist
2026-07-05T17:47:40.0824951Z,20260705_174647,greece,Culture,remember,Wrong,0,4.43,greece_boss
2026-07-05T17:47:46.8181025Z,20260705_174647,greece,Culture,remember,CorrectFast,1,1.19,greece_boss
2026-07-05T17:47:56.0822640Z,20260705_174647,greece,Culture,remember,CorrectFast,1,2.85,greece_boss
2026-07-05T17:48:04.0735299Z,20260705_174647,greece,Architecture,remember,CorrectFast,1,1.22,greece_boss
2026-07-05T17:48:11.5701070Z,20260705_174647,greece,Architecture,remember,CorrectFast,1,0.80,greece_boss
2026-07-05T17:48:19.4994318Z,20260705_174647,greece,Geography,understand,CorrectFast,1,1.98,greece_boss
2026-07-05T17:48:26.7211496Z,20260705_174647,greece,Geography,understand,CorrectFast,1,1.78,greece_boss
2026-07-05T17:48:33.3349079Z,20260705_174647,greece,Geography,understand,CorrectFast,1,1.01,greece_boss
2026-07-05T20:36:31.6297423Z,20260705_203631,rome,Architecture,remember,CorrectFast,1,1.26,rome_rumor
2026-07-05T20:36:39.0609862Z,20260705_203631,rome,Architecture,remember,CorrectFast,1,1.34,rome_rumor
2026-07-05T20:37:30.2199904Z,20260705_203631,rome,History,remember,CorrectFast,1,1.02,rome_boss
2026-07-05T20:37:38.2263843Z,20260705_203631,rome,History,remember,CorrectFast,1,2.02,rome_boss
2026-07-05T20:37:48.2373140Z,20260705_203631,rome,History,remember,Wrong,0,3.04,rome_boss
2026-07-05T20:38:00.9699305Z,20260705_203631,rome,History,remember,Wrong,0,6.50,rome_boss
2026-07-05T20:38:07.7780546Z,20260705_203631,rome,History,remember,CorrectFast,1,1.25,rome_boss
2026-07-05T20:38:15.0662230Z,20260705_203631,rome,Geography,remember,CorrectFast,1,1.13,rome_boss
2026-07-05T20:38:22.3810805Z,20260705_203631,rome,Geography,remember,CorrectFast,1,1.89,rome_boss
2026-07-05T20:38:32.4274310Z,20260705_203631,rome,Philosophy,understand,CorrectFast,1,3.52,rome_boss
2026-07-06T11:21:26.8691092Z,20260706_112126,china,Architecture,remember,TimedOut,0,12.00,china_rumor
2026-07-06T11:21:53.3508757Z,20260706_112126,china,Architecture,remember,Correct,1,9.65,china_rumor
2026-07-06T11:22:04.2823627Z,20260706_112126,china,Architecture,remember,CorrectFast,1,1.11,china_rumor
2026-07-06T11:25:53.2372129Z,20260706_112126,,History,remember,Wrong,0,1.32,demo_encounter
2026-07-06T11:26:00.9037119Z,20260706_112126,,History,remember,CorrectFast,1,1.96,demo_encounter
2026-07-06T11:26:08.7799276Z,20260706_112126,,History,remember,Wrong,0,1.08,demo_encounter
