event_name,category,subcategory,duration,is_competitive,competition_form,reward_structure,main_mechanic,reuse_count,first_seen,requires_purchase,source_url,notes,page_status
Beat the Heat Wipeout,Coins,,3-4 days (Fri 10:00 GMT start → Mon 10:00 GMT end [MP]; Event_Calendar 页写 Tue 10:00 [EC]),true,"排行榜(每轮与其他玩家赛跑, 前三名)","12 轮, 每轮前 1/2/3 名奖励(礼盒/能量/硬币/宝石/箱子), 硬币不跨轮结转 [PG]","厨房板攒硬币达每轮硬币目标(新版 250→1000), 与其他玩家比谁先到 [PG]",2,,false,https://gossip-harbor.fandom.com/wiki/Beat_the_Heat_Wipeout,"reuse=页面并列 New Version/Old Version 两套轮次表; 不每周出现, 可在周五 10am GMT 出现, 与 Lori's Dough Derby/Ziva's Goldrush 轮流占周五档 [PG][MP]; wiki 文章创建 2025-04-24 [UL]",archived_page
Lori's Dough Derby,Coins,,3-4 days (Fri 10:00 GMT start → Mon 10:00 GMT end [MP]; Event_Calendar 页写 Tue 10:00 [EC]),false,"个人里程碑(与 NPC Lori 赛跑, 非玩家对抗)","按轮次硬币目标发奖, 硬币可跨轮结转 [TT]",攒硬币与 Lori 赛跑过轮 [TT],2,,false,https://gossip-harbor.fandom.com/wiki/Lori%E2%80%99s_Dough_Derby,"无页快照; reuse=Update_Log 2025-07-24 记'部分玩家有新版本, 页面数值基于旧版'; 2025-05-01 加了'回归时间表'以追踪复刻 [UL]; 文章创建 2025-04-11",overview_only(no_snapshot)
Ziva's Goldrush,Coins,,3-4 days (Fri 10:00 GMT start → Mon 10:00 GMT end [MP]; Event_Calendar 页写 Tue 10:00 [EC]),true,排行榜(与其他玩家赛跑),"按轮次硬币目标发奖, 硬币不跨轮结转 [TT]","攒硬币达轮次目标, 与其他玩家赛跑 [TT]",,,false,https://gossip-harbor.fandom.com/wiki/Ziva%27s_Goldrush,"无页快照; 主页 2025-10-24/26 记'正在更新新的奖励与硬币信息'(疑似改版, 未明说) [MP]",overview_only(no_snapshot)
A Marionette's Mission,Decoration,,,false,个人里程碑,按阶段解锁装饰(分类级描述),用订单产出的 Decoration Points 按阶段购买公园广场/Quinn 花园的永久装饰; 阶段 2 后获 Cooldown Perk [EV][TT][Timers],,,false,https://gossip-harbor.fandom.com/wiki/A_Marionette%27s_Mission,无页快照; 公园广场装饰活动 [EV]; 其装饰条目 2025-08-08 建 [UL],overview_only(no_snapshot)
An Egyptian Excursion,Decoration,,,false,个人里程碑,按阶段解锁装饰(分类级描述),用订单产出的 Decoration Points 按阶段购买公园广场/Quinn 花园的永久装饰; 阶段 2 后获 Cooldown Perk [EV][TT][Timers],,,false,https://gossip-harbor.fandom.com/wiki/An_Egyptian_Excursion,无页快照; 公园广场 [EV]; 装饰条目 2025-08-07 建 [UL]; Horus's Guard 页确认为其装饰,overview_only(no_snapshot)
Easter Jamboree,Decoration,,,false,个人里程碑,按阶段解锁装饰(分类级描述),用订单产出的 Decoration Points 按阶段购买公园广场/Quinn 花园的永久装饰; 阶段 2 后获 Cooldown Perk [EV][TT][Timers],,,false,https://gossip-harbor.fandom.com/wiki/Easter_Jamboree,无页快照; Quinn 花园装饰活动(少见类型) [EV]; 文章创建 2025-04-10(复活节档) [UL],overview_only(no_snapshot)
The Lost City of Heron Keys,Decoration,,,false,个人里程碑,按阶段解锁装饰(分类级描述),用订单产出的 Decoration Points 按阶段购买公园广场/Quinn 花园的永久装饰; 阶段 2 后获 Cooldown Perk [EV][TT][Timers],,,false,https://gossip-harbor.fandom.com/wiki/The_Lost_City_of_Heron_Keys,"无页快照; 公园广场 [EV]; 文章创建 2025-05-09, 05-12 补齐全部奖励 [UL]",overview_only(no_snapshot)
The Masked Tenor,Decoration,,,false,个人里程碑,按阶段解锁装饰(分类级描述),用订单产出的 Decoration Points 按阶段购买公园广场/Quinn 花园的永久装饰; 阶段 2 后获 Cooldown Perk [EV][TT][Timers],,,false,https://gossip-harbor.fandom.com/wiki/The_Masked_Tenor,无页快照; 公园广场 [EV]; 文章创建 2025-06-10 [UL]; Ghostly Gondola 页确认为其装饰,overview_only(no_snapshot)
Lavender Season,Merging,Cloudy,,false,个人里程碑,"道具等级里程碑奖励(金块/硬币/能量/宝石碎片, 主道具 lv5 起)+图鉴每新发现道具 +1 能量; 完成活动给卡包 [ML][TT]","云雾板: 按固定顺序用钥匙道具解锁云区; 主合成物=植物, 用订单给的镰刀收割(最多 4 块地) [EV]",,,false,https://gossip-harbor.fandom.com/wiki/Lavender_Season,"无页快照; 合成活动时长页面未写; 同一时间只能有一个合成活动, 结束后可立即开下一个或间隔≥2h [EV]; 文章创建 2025-05-12 [UL]",overview_only(no_snapshot)
Tony's Farmyard Deeds,Merging,Cloudy,,false,个人里程碑,"道具等级里程碑奖励(金块/硬币/能量/宝石碎片, 主道具 lv5 起)+图鉴每新发现道具 +1 能量; 完成活动给卡包 [ML][TT]","云雾板(动物+地块+镰刀), 总览页配图示例 [EV]",,,false,https://gossip-harbor.fandom.com/wiki/Tony%27s_Farmyard_Deeds,"无页快照; 合成活动时长页面未写; 同一时间只能有一个合成活动, 结束后可立即开下一个或间隔≥2h [EV]",overview_only(no_snapshot)
Tony's Fruit Farm,Merging,Cloudy,,false,个人里程碑,"道具等级里程碑奖励(金块/硬币/能量/宝石碎片, 主道具 lv5 起)+图鉴每新发现道具 +1 能量; 完成活动给卡包 [ML][TT]",云雾板(植物/镰刀) [EV],,,false,https://gossip-harbor.fandom.com/wiki/Tony%E2%80%99s_Fruit_Farm,"无页快照; 合成活动时长页面未写; 同一时间只能有一个合成活动, 结束后可立即开下一个或间隔≥2h [EV]; 文章创建 2025-04-04, 2025-09-06 补图 [UL]",overview_only(no_snapshot)
Dinosaur Discovery,Merging,Multilevel,,false,个人里程碑,"道具等级里程碑奖励(金块/硬币/能量/宝石碎片, 主道具 lv5 起)+图鉴每新发现道具 +1 能量; 完成活动给卡包 [ML][TT]; 阶段 2/3/4 开局铺满硬币/能量/宝石碎片 [ML]","多层板: 4 层, 合出带钥匙标记的道具开门进下一层 [EV]",,,false,https://gossip-harbor.fandom.com/wiki/Dinosaur_Discovery,"无页快照; 总览页配图'第 4 层也是最后一层'; 合成活动时长页面未写; 同一时间只能有一个合成活动, 结束后可立即开下一个或间隔≥2h [EV]; 文章创建 2025-04-25 [UL]",overview_only(no_snapshot)
Hilarious Hijinks,Merging,Multilevel,,false,个人里程碑,"道具等级里程碑奖励(金块/硬币/能量/宝石碎片, 主道具 lv5 起)+图鉴每新发现道具 +1 能量; 完成活动给卡包 [ML][TT]","多层板(4 层, 钥匙开门) [EV]",,,false,https://gossip-harbor.fandom.com/wiki/Hilarious_Hijinks,"无页快照; 合成活动时长页面未写; 同一时间只能有一个合成活动, 结束后可立即开下一个或间隔≥2h [EV]",overview_only(no_snapshot)
Sensational Sportsfest,Merging,Multilevel,,false,个人里程碑,"道具等级里程碑奖励(金块/硬币/能量/宝石碎片, 主道具 lv5 起)+图鉴每新发现道具 +1 能量; 完成活动给卡包 [ML][TT]","多层板(4 层, 钥匙开门) [EV]",,,false,https://gossip-harbor.fandom.com/wiki/Sensational_Sportsfest,"无页快照; 合成活动时长页面未写; 同一时间只能有一个合成活动, 结束后可立即开下一个或间隔≥2h [EV]; 文章创建 2025-05-21 [UL]",overview_only(no_snapshot)
Springtide Gardens,Merging,Multilevel,,false,个人里程碑,"道具等级里程碑奖励(金块/硬币/能量/宝石碎片, 主道具 lv5 起)+图鉴每新发现道具 +1 能量; 完成活动给卡包 [ML][TT]","多层板(4 层, 钥匙开门), 总览页配图 [EV]",,,false,https://gossip-harbor.fandom.com/wiki/Springtide_Gardens,"无页快照; 合成活动时长页面未写; 同一时间只能有一个合成活动, 结束后可立即开下一个或间隔≥2h [EV]",overview_only(no_snapshot)
Forest Forager,Merging,Digging(Scrolling),,false,个人里程碑,积分制: 达到积分阈值给道具奖励 [EV],挖掘板: 清完现有道具后板面向下滚动露出更多 [EV],,,false,https://gossip-harbor.fandom.com/wiki/Forest_Forager,"无页快照; 合成活动时长页面未写; 同一时间只能有一个合成活动, 结束后可立即开下一个或间隔≥2h [EV]; 文章创建 2025-05-30 [UL]",overview_only(no_snapshot)
Rose Garden Romance,Merging,Digging(Scrolling),,false,个人里程碑,积分制: 达到积分阈值给道具奖励 [EV],挖掘板(向下滚动) [EV],,,false,https://gossip-harbor.fandom.com/wiki/Rose_Garden_Romance,"无页快照; 合成活动时长页面未写; 同一时间只能有一个合成活动, 结束后可立即开下一个或间隔≥2h [EV]",overview_only(no_snapshot)
Seaside Sandscaping,Merging,Digging(Scrolling),,false,个人里程碑,积分制: 达到积分阈值给道具奖励 [EV],挖掘板(向下滚动) [EV],,,false,https://gossip-harbor.fandom.com/wiki/Seaside_Sandscaping,"无页快照; 合成活动时长页面未写; 同一时间只能有一个合成活动, 结束后可立即开下一个或间隔≥2h [EV]",overview_only(no_snapshot)
Cinco de Mayo Party,Merging,Single level,,false,个人里程碑,"道具等级里程碑奖励(金块/硬币/能量/宝石碎片, 主道具 lv5 起)+图鉴每新发现道具 +1 能量; 完成活动给卡包 [ML][TT]",单层板: 用订单给的可合成物与板上预置道具合成到顶级即结束 [EV],,,false,https://gossip-harbor.fandom.com/wiki/Cinco_de_Mayo_Party,"无页快照; 合成活动时长页面未写; 同一时间只能有一个合成活动, 结束后可立即开下一个或间隔≥2h [EV]; 文章创建 2025-05-04 [UL]; Raccoon 页提到'Cinco de Mayo Party Points'即订单给活动点",overview_only(no_snapshot)
Down the Rabbit Hole,Merging,Single level,,false,个人里程碑,"道具等级里程碑奖励(金块/硬币/能量/宝石碎片, 主道具 lv5 起)+图鉴每新发现道具 +1 能量; 完成活动给卡包 [ML][TT]",单层板 [EV],,,false,https://gossip-harbor.fandom.com/wiki/Down_the_Rabbit_Hole,"无页快照; 合成活动时长页面未写; 同一时间只能有一个合成活动, 结束后可立即开下一个或间隔≥2h [EV]; 文章创建 2025-06-10 [UL]",overview_only(no_snapshot)
Easter Egg Hunt,Merging,Single level,,false,个人里程碑,"蛋链 lv5-7 产金块/硬币/能量 [PG]; 道具等级里程碑奖励(金块/硬币/能量/宝石碎片, 主道具 lv5 起)+图鉴每新发现道具 +1 能量; 完成活动给卡包 [ML][TT]",单层板: 胡萝卜链+彩蛋链两条合成链 [PG][EV],,,false,https://gossip-harbor.fandom.com/wiki/Easter_Egg_Hunt,"有页快照但仅道具等级表, 无时长/日期; 文章创建 2025-04-13 [UL]; 合成活动时长页面未写; 同一时间只能有一个合成活动, 结束后可立即开下一个或间隔≥2h [EV]",archived_page
Galactic Grand Prix,Order;Random,,,unknown,,,订单活动: 完成指定订单 [EV]; 随机活动(不提前 24h 预告) [EV],,,false,https://gossip-harbor.fandom.com/wiki/Galactic_Grand_Prix,无页快照; 文章创建 2025-04-15 [UL],overview_only(no_snapshot)
Mutineer Mayhem,Order;Random,,<24 hours (随机类说明: Raccoon orders 与 Mutineer Mayhem 不足 24h [EV]),unknown,,,"限时特殊订单活动, 3 个版本各有一套可能订单组合 [UL 2025-05-27]; 到达时段 Tue/Wed/Thu 00:00-02:00 GMT [MP][EC]",3,,false,https://gossip-harbor.fandom.com/wiki/Mutineer_Mayhem,无页快照; reuse=Update_Log 记 3 个版本; 每周最多 3 个到达时段 [MP],overview_only(no_snapshot)
24-Hour Player Competitions,Other;Random,,24 hours (活动名即 24 小时 [EV]),true,"排行榜(玩家竞赛, 按名次发奖)","按名次奖励 [UL 2025-04-20: '奖励与名次基于当期 Easter Festival Face Off, 待验证']",24 小时内完成订单/攒积分与其他玩家比名次 [EV],,,false,https://gossip-harbor.fandom.com/wiki/24-Hour_Player_Competitions,无页快照; 具体实例名 Easter Festival Face Off(2025-04) [UL]; wiki 另有 Event_Point_Player_Competitions 页(无快照),overview_only(no_snapshot)
Big Drop Rush,Other;Random,,24 hours (分类级描述: Other 类'often 24-hour events' [EV]),unknown,,完成订单/积分给奖励(分类级) [EV],,,,false,https://gossip-harbor.fandom.com/wiki/Big_Drop_Rush,无页快照; 文章创建 2025-05-27 [UL]; 随机活动,overview_only(no_snapshot)
Bingo,Other;Random,,24 hours (分类级描述: Other 类'often 24-hour events' [EV]),unknown,,完成订单/积分给奖励(分类级) [EV],可从厨房板进入的活动界面 [TT],,,false,https://gossip-harbor.fandom.com/wiki/Bingo,无页快照; 文章创建 2025-06-15 [UL]; 随机活动,overview_only(no_snapshot)
Clay Color Combos,Other;Random,,24 hours (分类级描述: Other 类'often 24-hour events' [EV]),unknown,,按轮次(所需颜料瓶数/要上色的动物)发奖 [UL 2025-05-18],"收集颜料瓶给陶土动物雕像上色, 分轮推进 [UL]",,,false,https://gossip-harbor.fandom.com/wiki/Clay_Color_Combos,"无页快照; Update_Log 2025-05-18 记有轮次/颜料/动物/奖励表, 2025-07-23 加全部雕像图",overview_only(no_snapshot)
Fruit Roulette,Other;Random,,24 hours (分类级描述: Other 类'often 24-hour events' [EV]),unknown,,,可从厨房板进入的活动界面 [TT],,,false,https://gossip-harbor.fandom.com/wiki/Fruit_Roulette,无页快照; 文章创建 2025-06-06 [UL]; 随机活动,overview_only(no_snapshot)
Gazebo Garden Pools,Other;Random,,24 hours (分类级描述: Other 类'often 24-hour events' [EV]),unknown,,,,,,false,https://gossip-harbor.fandom.com/wiki/Gazebo_Garden_Pools,无页快照; Event_Calendar: 周四 2am/合成活动最后 24 小时出现(待验证) [EC],overview_only(no_snapshot)
Lucky River,Other;Random,,24 hours (分类级描述: Other 类'often 24-hour events' [EV]),unknown,,,,,,false,https://gossip-harbor.fandom.com/wiki/Lucky_River,无页快照; 文章创建 2025-04-15 [UL]; Tips 页有空标题段,overview_only(no_snapshot)
Restaurant Goals,Other,,1 week (结束后立刻重开 [EV]; 周一/二 2am GMT 重置 [MP][EC]),false,个人里程碑,"多条目标(含收集 N 个 Epic/Rare 卡包、'完成一次购买'等)+里程碑奖励, 完成总奖励几乎必含 Epic Pack [TT][Card_Collection_Event]",周任务清单: 完成订单/收卡包/登录等目标 [TT],,,false,https://gossip-harbor.fandom.com/wiki/Restaurant_Goals,无页快照; 目标之一是'make a purchase'(可跳过该项拿其余奖励) [TT]; 常驻每周循环,overview_only(no_snapshot)
Sky-High Scramble,Other;Random,,24 hours (分类级描述: Other 类'often 24-hour events' [EV]),unknown,,,,,,false,https://gossip-harbor.fandom.com/wiki/Sky-High_Scramble,无页快照; 2025-07-23 更新 [UL]; 随机活动,overview_only(no_snapshot)
Big Bubble Bargains,Purchasing;Random,,24 hours [PG],false,无,无奖励结构(泡泡道具折扣) [PG],24 小时内厨房板泡泡(bubble)道具打折出售 [PG],3,,true,https://gossip-harbor.fandom.com/wiki/Big_Bubble_Bargains,"reuse=页面到达时段表每周 3 档(Tue 2am / Wed 10 GMT 与 1 GMT / Sat 2am GMT), 非版本数; 分类=需真钱 [EV]; 随机活动",archived_page
Disco Party,Purchasing;Random,,"(非 24 小时, 分类说明将其列为例外 [EV])",false,无,"抽奖(转盘): Coconut 送 1 次免费转保底 25 能量, 其余转需付费 [EV]",付费转盘抽奖 [EV],,,true,https://gossip-harbor.fandom.com/wiki/Disco_Party,"无页快照; 2025-08-16 概率与奖励从 wiki 移除, 改链接 Microfun 概率公示 [UL]",overview_only(no_snapshot)
Rare Card Deal,Purchasing;Random,,,false,无,付费购买稀有卡(分类级) [EV],真钱购买 [EV],,,true,https://gossip-harbor.fandom.com/wiki/Rare_Card_Deal,无页快照; 文章创建 2025-08-24 [UL]; 随机活动,overview_only(no_snapshot)
Coconut's Sky Journey,Rare and Obsolete,,,unknown,,,,,,,https://gossip-harbor.fandom.com/wiki/Coconut%27s_Sky_Journey,无页快照; 总览页'已不再出现'的活动 [EV],overview_only(no_snapshot)
