level,episode_idx,episode,type,moves,target_score,goal_text,goal_icons,goal_nums,difficulty,difficulty_rank,remarks
1,1,Candy_Town,Order,15,500,: 15,Bluecandy order.png,15,Very easy,1,First level in the gameFirst levelFormerly first level
2,1,Candy_Town,Order,22,10000,: 28,Icing order new.png,28,Very easy,1,is introduced
3,1,Candy_Town,Order,21,10000,: 6,Striped2 (trans).png,6,Very easy,1,First five-coloured level
4,1,Candy_Town,Order,20,10000,: 29,Icing order new.png,29,Very easy,1,First level where special candies appear on the board from the start
5,1,Candy_Town,Order,16,2000,: 25 : 3,Icing order new.png|Wrapped2 (trans).png,25|3,Very easy,1,Formerly the fifth and final in a row before it was totally changed.
6,1,Candy_Town,Order,27,10000,: 35 : 5,Icing order new.png|Wrapped2 (trans).png,35|5,Very easy,1,
7,1,Candy_Town,Order,25,4000,: 40,Bluecandy order.png,40,Very easy,1,Lollipop hammer booster unlocked. Currently the seventh and final in a row.
8,1,Candy_Town,Jelly,12,10000,: 21,Single jelly-removebg-preview (1).png,21,Very easy,1,+5 Moves booster unlockedFirst level
9,1,Candy_Town,Jelly,30,10000,: 29 : 19,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,29|19,Very easy,1,Jelly fish booster unlocked Double jelly is first introduced
10,1,Candy_Town,Jelly,22,20000,: 16 : 24,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,16|24,Very easy,1,"are introducedThis level features the game's first cutscene, as well as the first hexagon level."
11,2,Candy_Factory,Order,25,8900,: 14 : 65,Bubblegum Pop order.png|Multilayered frosting 2024 FTUE order.png,14|65,Very easy,1,is introduced
12,2,Candy_Factory,Jelly,25,64000,: 63,Single jelly-removebg-preview (1).png,63,Very easy,1,
13,2,Candy_Factory,Jelly,18,20000,: 21 : 17,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,21|17,Very easy,1,Teleporters are introduced. Colour bomb booster unlocked
14,2,Candy_Factory,Order,25,9300,: 38 : 45,Multilayered frosting 2024 FTUE order.png|Redcandy order.png,38|45,Very easy,1,Candy cannon is introduced.
15,2,Candy_Factory,Order,30,10000,: 50,Multilayered frosting 2024 FTUE order.png,50,Very easy,1,Marmalade is introduced. Coconut wheel booster unlocked
16,2,Candy_Factory,Mixed,25,94300,: 14 : 38 : 33,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Bubblegum Pop order.png,14|38|33,Very easy,1,First mixed level
17,2,Candy_Factory,Ingredients,20,10000,: 4,Gummi Dragon order.png,4,Very easy,1,First level
18,2,Candy_Factory,Jelly,30,77200,: 10 : 33,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,10|33,Very easy,1,
19,2,Candy_Factory,Ingredients,20,10000,: 5,Gummi Dragon order.png,5,Very easy,1,Free switch booster unlocked
20,2,Candy_Factory,Order,28,12820,: 54 : 63,Multilayered frosting 2024 FTUE order.png|Bubblegum Pop order.png,54|63,Very easy,1,
21,3,Lemonade_Lake_(Episode_3),Jelly,25,60000,: 21 : 37,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,21|37,Very easy,1,is introduced
22,3,Lemonade_Lake_(Episode_3),Jelly,26,50000,: 22 : 18,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,22|18,Very easy,1,
23,3,Lemonade_Lake_(Episode_3),Jelly,25,60000,: 18 : 23,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,18|23,Very easy,1,First level to start with on the board
24,3,Lemonade_Lake_(Episode_3),Jelly,24,50000,: 66,Single jelly-removebg-preview (1).png,66,Very easy,1,
25,3,Lemonade_Lake_(Episode_3),Ingredients,22,70000,: 9,Gummi Dragon order.png,9,Very easy,1,
26,3,Lemonade_Lake_(Episode_3),Jelly,22,60000,: 18 : 41,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,18|41,Easy,2,
27,3,Lemonade_Lake_(Episode_3),Jelly,28,10000,: 30 : 3,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,30|3,Easy,2,"unlocked (formerly, Flash only)"
28,3,Lemonade_Lake_(Episode_3),Ingredients,28,10000,: 6,Gummi Dragon order.png,6,Very easy,1,is introduced
29,3,Lemonade_Lake_(Episode_3),Order,27,15000,: 21 : 90 : 90,Icing order new.png|Bluecandy order.png|Greencandy order.png,21|90|90,Very easy,1,unlocked
30,3,Lemonade_Lake_(Episode_3),Jelly,17,10000,: 12 : 30,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,12|30,Easy,2,
31,3,Lemonade_Lake_(Episode_3),Jelly,29,50000,: 28 : 28,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,28|28,Very easy,1,
